"3"; "2"; ""; "MAHLE01"; "Testovací laboratoř QS u linky Mercedes"; "A109"; "V laboratoři je instalována akustická komora. Provádí se zde laboratorní měření výrobků - vzorků."; "Prostor   I. (vnitřní prostor-plně klimatizovaná místa)"; "s přerušovanou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "SDK - sádrokarton"; "hasicí přístroj"; "teplovodní + klimatizace"; "vzduchotechnika"; "25"; "AA5, AB5, AC1, AD1, AE1, AF1, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA4, BC1, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "2"; ""; "MAHLE02"; "Příruční sklad QS"; "A108"; "Sklad slouží k ukládání testovaných vzorků."; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; ""; "zářivkové"; "beton + dlažba"; "SDK - sádrokarton"; "sprinklery"; "teplovodní"; ""; "3"; "AA5, AB5, AC1, AD1, AE1, AF1, AG1, AH1, AK1, AL1, BA1, BC1, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "2"; ""; "MAHLE03"; "WC muži QS"; "A"; "Sociální zázemí pro laboratoř QS."; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "bez obsluhy"; "zářivkové"; "beton + dlažba"; "SDK - sádrokarton"; ""; ""; "vzduchotechnika"; "20"; "AA5, AB5, AC1, AD1, AE1, AF1, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA1, BC1, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "2"; ""; "MAHLE05"; "Sprchy + šatny ženy"; "A"; "Sociální zázemí."; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "bez obsluhy"; "zářivkové"; "beton + dlažba"; "SDK - sádrokarton"; ""; "teplovodní + vzduchotechnika"; "vzduchotechnika"; "20"; "AA5, AB5, AC1, AD1, AE1, AF1, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA1, BC1, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE06"; "Sklad granulátu 1. N.P."; "V102"; "Prostor slouží ke skladování a distribuci granulátu do zásobníků vstřikovacích lisů výrobní linie IM. Provádí se zde manipulace s granulátem pomocí vysokozdvižné techniky. Ve skladu jsou umístěné kovové regály pro uskladnění granulátu a vlastní stání s podtlakovým sáním."; "Prostor  IV. (vnitřní prostor bez regulace teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; ""; "vzduchotechnika"; "216.80"; "AA5, AB5, AC1, AD1, AE1, AF1, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA4, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE07"; "Sklad granulátu podesta 2.N.P."; "V201"; "Prostor slouží ke sušení granulátu před distribucí do zásobníků vstřikovacích lisů výrobní linie IM. V prostoru jsou umístěné sušičky a vývěvy pro podtlakové sání."; "Prostor  IV. (vnitřní prostor bez regulace teploty)"; "s trvalou obsluhou"; "zářivkové"; "ocelové pláty"; "sendvičové panely"; "sprinklery"; ""; "vzduchotechnika"; "120.10"; "AA6, AB5, AC1, AD1, AE1, AF1, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA4, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE18041701"; "Vstřikovací lis 1300-03 Engel"; "Linie IM V101"; "Polyprepylénový granulát.
Skládá se z více sekcí:
1) násypka s extrudérem, kde dochází k roztavení granulátu, který je dopravován potrubní pneu-dopravou z místnosti skladu granulátu.
2) lis s matricemi, kde dojde k vlastní mu vylisování výrobku
3) robot pro odběr hotových výlisků
4) kontrolní pracoviště trvalé obsluhy - operátor
Stroj je vybaven nouzovými Stop tlačítky
Stroj má samostatný rozvaděč NN.
Pod strojem je zbudována zádržná bezpečnostní jímka.
Typ: DUO 7050/700
v.č.: 187489
r.v.: 2013"; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; "vzduchotechnika"; "vzduchotechnika"; "76"; "AA6, AB5, AC1, AD1, AE1, AF3, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA5, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE18041702"; "Vstřikovací lis 900-03 Engel"; "Linie IM V101"; "Polyprepylénový granulát.
Skládá se z více sekcí:
1) násypka s extrudérem, kde dochází k roztavení granulátu, který je dopravován potrubní pneu-dopravou z místnosti skladu granulátu.
2) lis s matricemi, kde dojde k vlastní mu vylisování výrobku
3) robot pro odběr hotových výlisků
4) kontrolní pracoviště trvalé obsluhy - operátor
Stroj je vybaven nouzovými Stop tlačítky
Stroj má samostatný rozvaděč NN.
Pod strojem je zbudována zádržná bezpečnostní jímka.
Typ: DUO 4550/900 WP
v.č.: 201810
r.v.: 2015"; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; "vzduchotechnika"; "vzduchotechnika"; "44"; "AA6, AB5, AC1, AD1, AE1, AF3, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA5, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE18041703"; "Vstřikovací lis 1100-01 Engel"; "Linie IM V101"; "Polyprepylénový granulát.
Skládá se z více sekcí:
1) násypka s extrudérem, kde dochází k roztavení granulátu, který je dopravován potrubní pneu-dopravou z místnosti skladu granulátu.
2) lis s matricemi, kde dojde k vlastní mu vylisování výrobku
3) robot pro odběr hotových výlisků
4) kontrolní pracoviště trvalé obsluhy - operátor
Stroj je vybaven nouzovými Stop tlačítky
Stroj má samostatný rozvaděč NN.
Pod strojem je zbudována zádržná bezpečnostní jímka.
Typ: ES 4550/600 HL
v.č.: 164543
r.v.: 2007"; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; "vzduchotechnika"; "vzduchotechnika"; "44"; "AA6, AB5, AC1, AD1, AE1, AF3, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA5, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE18041704"; "Vstřikovací lis 400-02 Engel"; "Linie IM V101"; "Polyprepylénový granulát.
Skládá se z více sekcí:
1) násypka s extrudérem, kde dochází k roztavení granulátu, který je dopravován potrubní pneu-dopravou z místnosti skladu granulátu.
2) lis s matricemi, kde dojde k vlastní mu vylisování výrobku
3) robot pro odběr hotových výlisků
4) kontrolní pracoviště trvalé obsluhy - operátor
Stroj je vybaven nouzovými Stop tlačítky
Stroj má samostatný rozvaděč NN.
Pod strojem je zbudována zádržná bezpečnostní jímka.
Typ: VICTORY 2550/400 Power
v.č.: 161168
r.v.: 2006"; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; "vzduchotechnika"; "vzduchotechnika"; "56"; "AA6, AB5, AC1, AD1, AE1, AF3, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA5, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE18041705"; "Vstřikovací lis 500-01 Engel"; "Linie IM V101"; "Polyprepylénový granulát.
Skládá se z více sekcí:
1) násypka s extrudérem, kde dochází k roztavení granulátu, který je dopravován potrubní pneu-dopravou z místnosti skladu granulátu.
2) lis s matricemi, kde dojde k vlastní mu vylisování výrobku
3) robot pro odběr hotových výlisků
4) kontrolní pracoviště trvalé obsluhy - operátor
Stroj je vybaven nouzovými Stop tlačítky
Stroj má samostatný rozvaděč NN.
Pod strojem je zbudována zádržná bezpečnostní jímka.
Typ: VICTORY 2050/500 Tech
v.č.: 187490
r.v.: 2013"; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; "vzduchotechnika"; "vzduchotechnika"; "56"; "AA6, AB5, AC1, AD1, AE1, AF3, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA5, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
"3"; "12"; ""; "MAHLE18041706"; "Vstřikovací lis 700-01 Engel"; "Linie IM V101"; "Polyprepylénový granulát.
Skládá se z více sekcí:
1) násypka s extrudérem, kde dochází k roztavení granulátu, který je dopravován potrubní pneu-dopravou z místnosti skladu granulátu.
2) lis s matricemi, kde dojde k vlastní mu vylisování výrobku
3) robot pro odběr hotových výlisků
4) kontrolní pracoviště trvalé obsluhy - operátor
Stroj je vybaven nouzovými Stop tlačítky
Stroj má samostatný rozvaděč NN.
Pod strojem je zbudována zádržná bezpečnostní jímka.
Typ: DUO 4550/700
v.č.: 167322
r.v.: 2008"; "Prostor  II. (vnitřní prostor s trvalou regulací teploty)"; "s trvalou obsluhou"; "zářivkové"; "beton + pryskyřičná stěrka"; "sendvičové panely"; "sprinklery"; "vzduchotechnika"; "vzduchotechnika"; "40"; "AA6, AB5, AC1, AD1, AE1, AF3, AG1, AH1, AK1, AL1, AN1, AP1, AQ1, AR1, AS1, BA5, BC3, BD1, BE1, CA1, CB1"; ""; ""; ""; ""; ""; ""
